"NAME"        ,"VALUE"
"ACHANG"      ,"阿昌族"
"BAI"         ,"白族"
"BLANG"       ,"布朗族"
"BONAN"       ,"保安族"
"BOUYEI"      ,"布依族"
"CHOSEN"      ,"朝鲜族"
"DAI"         ,"傣族"
"DAUR"        ,"达斡尔族"
"DEANG"       ,"德昂族"
"DONG"        ,"侗族"
"DONGXIAN"    ,"东乡族"
"DRUNG"       ,"独龙族"
"EWENKI"      ,"鄂温克族"
"GAOSHAN"     ,"高山族"
"GELAO"       ,"仡佬族"
"HAN"         ,"汉族"
"HANI"        ,"哈尼族"
"HEZHEN"      ,"赫哲族"
"HUI"         ,"回族"
"JING"        ,"京族"
"JINGPO"      ,"景颇族"
"JINO"        ,"基诺族"
"KAZAK"       ,"哈萨克族"
"KIRGIZ"      ,"柯尔克孜族"
"LAHU"        ,"拉祜族"
"LHOBA"       ,"珞巴族"
"LI"          ,"黎族"
"LISU"        ,"傈僳族"
"MAN"         ,"满族"
"MAONAN"      ,"毛南族"
"MIAO"        ,"苗族"
"MOINBA"      ,"门巴族"
"MONGOL"      ,"蒙古族"
"MULAO"       ,"仫佬族"
"NAXI"        ,"纳西族"
"NU"          ,"怒族"
"OROQEN"      ,"鄂伦春族"
"OZBEK"       ,"乌孜别克族"
"PUMI"        ,"普米族"
"QIANG"       ,"羌族"
"RUSSIAN"     ,"俄罗斯族"
"SALAR"       ,"撒拉族"
"SHE"         ,"畲族"
"SHUI"        ,"水族"
"TAJIK"       ,"塔吉克族"
"TATAR"       ,"塔塔尔族"
"TU"          ,"土族"
"TUJIA"       ,"土家族"
"UYGUR"       ,"维吾尔族"
"VA"          ,"佤族"
"XIBE"        ,"锡伯族"
"YAO"         ,"瑶族"
"YI"          ,"彝族"
"YUGUR"       ,"裕固族"
"ZANG"        ,"藏族"
"ZHUANG"      ,"壮族"
