"USERNAME","COMPANY"           ,"DEPARTMENT","POSITION"
"john"    ,"Mossle科技有限公司","HO"        ,"总经理"
"sam"     ,"Mossle科技有限公司","HO"        ,""
"claire"  ,"Mossle科技有限公司","HO"        ,""
"thomas"  ,"Mossle科技有限公司","HO"        ,""
"jane"    ,"Mossle科技有限公司","HO"        ,""
"marry"   ,"Mossle科技有限公司","HO"        ,""
"bot"     ,"Mossle科技有限公司","HO"        ,""
"king"    ,"Mossle科技有限公司","RD"        ,"经理"
"lingo"   ,"Mossle科技有限公司","RD"        ,""
"vivian"  ,"Mossle科技有限公司","RD"        ,""
"leon"    ,"Mossle科技有限公司","RD"        ,""
"clark"   ,"Mossle科技有限公司","RD"        ,""
"david"   ,"Mossle科技有限公司","RD"        ,""
"henry"   ,"Mossle科技有限公司","RD"        ,""
"helen"   ,"Mossle科技有限公司","RD"        ,""
"sarah"   ,"Mossle科技有限公司","RD"        ,""
"steven"  ,"Mossle科技有限公司","MD"        ,"经理"
"ben"     ,"Mossle科技有限公司","MD"        ,""
"jack"    ,"Mossle科技有限公司","MD"        ,""
"mike"    ,"Mossle科技有限公司","SD"        ,""
"justin"  ,"Mossle科技有限公司","SD"        ,""
"tom"     ,"Mossle科技有限公司","SD"        ,""
"james"   ,"Mossle科技有限公司","CS"        ,""
"joe"     ,"Mossle科技有限公司","CS"        ,""
"paul"    ,"Mossle科技有限公司","CS"        ,""
"william" ,"Mossle科技有限公司","FD"        ,""
"martin"  ,"Mossle科技有限公司","FD"        ,""
"alex"    ,"Mossle科技有限公司","FD"        ,""
"adam"    ,"Mossle科技有限公司","HR"        ,""
"daniel"  ,"Mossle科技有限公司","HR"        ,""
"eric"    ,"Mossle科技有限公司","HR"        ,""
"robot"   ,"Mossle科技有限公司","AD"        ,""
"bob"     ,"Mossle科技有限公司","AD"        ,""
"alice"   ,"Mossle科技有限公司","AD"        ,""
"andy"    ,"Mossle科技有限公司","RD01"      ,""
"bill"    ,"Mossle科技有限公司","RD01"      ,""
"anni"    ,"Mossle科技有限公司","RD01"      ,""
"rose"    ,"Mossle科技有限公司","RD01"      ,""
